,Astrocytes 1,Astrocytes 2,Astrocytes 3,Inhibitory 1,Inhibitory 2,Inhibitory 3,Excitatory 1,Excitatory 2,Excitatory 3,Excitatory 4,Microglia 1,Microglia 2,Oligodendrocytes 1,Oligodendrocytes 2,Oligodendrocytes 3,OPCs 1,OPCs 2
Tyrobp Causal Network In Microglia,,,,,,,,,,,13.815510557964274,5.328288867268617,,,,,
Microglial Cell Activation,,,,,,,,,,,7.081572426258321,,,,,,
Microglia Pathogen Phagocytosis Pathway,,,,,,,,,,,15.604908090477268,27.631021115928547,,,,,
Stress-Activated Mapk Cascade,,,3.8338071083537817,,,,,,,,,,,,,,
Host-Pathogen Interaction Of Human Coronaviruses - Mapk Signaling,,,3.7444364584846217,,,,,3.071875626694085,,,,,,,,,
Mapk Signaling Pathway,,,,,,,,,4.90482355459643,,,3.748641724395967,,,,,
Negative Regulation Of Stress-Activated Mapk Cascade,,,,,,,,3.3114303905698126,,,,,,,,,
Regulation Of Stress-Activated Mapk Cascade,,,,,,,,4.125478876795379,,,,,,,,,
Mapk Cascade,,,,,,,,4.379278782110422,,,,,,,,,
Mapk Pathway In Congenital Thyroid Cancer,,,,,,,,6.217136659073728,,,,,,,,,
Negative Regulation Of Mapk Cascade,,,,,,,,,,,,4.074536567243066,,,,,
Positive Regulation Of Inflammatory Response,,,4.431286130824879,,,,,,,,6.939008709090939,,,,,,
Inflammatory Response,,,3.881284695940902,,,,,,,,,,,,,,
Inflammation Mediated By Chemokine And Cytokine Signaling Pathway Homo Sapiens,,,,,,,,,3.19907165374902,,,3.782120115921981,,,,,
"Relationship Between Inflammation, Cox-2 And Egfr",,,,,,,,4.330114404526165,,,,,,,,,
Resistin As A Regulator Of Inflammation,,,,,,,,,3.3608634053502535,,,,,,,,
Negative Regulation Of Inflammatory Response,,,,,,,,,,,3.5561982043333207,,,,,,
Regulation Of Cytokine Production Involved In Inflammatory Response,,,,,,,,,,,3.7546956400232903,,,,,,
Regulation Of Tumor Necrosis Factor Production,,,3.4819514156696094,,,,,,,,3.4571931672822993,,,,,,
Tumor Necrosis Factor-Mediated Signaling Pathway,,,,,,,,,-5.533447030384209,,,,,,,,
Positive Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production,,,,,,,,,,,,4.419153467143659,,,,,
Antigen Processing And Presentation Of Peptide Antigen Via Mhc Class Ii,,,,-6.066413332816354,,,,,,,4.296423585731014,,,,,,
Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class Ii,,,,,,,3.2769890279126255,,,,,,,,,,
Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class I,,,,,,,,,-13.815510557964274,,,,,,,,
Trif-Dependent Toll-Like Receptor Signaling Pathway,,,,,,,,,-7.609298785853614,,,,,,,,
Myd88-Dependent Toll-Like Receptor Signaling Pathway,,,,,,,,,-4.444630375545981,3.0538904167701757,5.604768166075617,,,,,,
Regulation Of Toll-Like Receptor Signaling Pathway,,,,,,,,,,,,3.8051580784577106,,,,,
Myd88-Independent Toll-Like Receptor Signaling Pathway,,,,,,,,,,,,,,,-6.192206857509205,,
"Oligodendrocyte Specification And Differentiation, Leading To Myelin Components For Cns",,,,,,,,,,,,,11.654538350876903,,-7.47298021982611,27.631021115928547,
Regulation Of Oligodendrocyte Differentiation,,,,,,,,,,,,,4.300391781106115,,,,
Myelin Maintenance,,,,-3.74023401323694,,,,,,,,,4.058442872792336,,,,
Myelin Assembly,,,,,,,,,2.997475036703287,,,,3.7149649107314118,,,,
Myelination,,,,,,,,,,,,,6.115496853354766,,,,
Central Nervous System Myelination,,,,,,,,,,,,,4.791955869456185,,,,
Alzheimer Disease-Amyloid Secretase Pathway Homo Sapiens,,,,,-6.895242109390772,-7.696221878280388,,7.970192231322847,13.287084651925076,,,,,,,,
Alzheimer'S Disease,,,,,,,,,3.1622315670281296,,,,,,,,
Negative Regulation Of Amyloid Precursor Protein Catabolic Process,,4.432361613391505,,,,,,,,,,,,,,,
Regulation Of Amyloid-Beta Formation,,,,,,,,3.144828944255571,,,4.673420218393833,,4.418515240045683,,,,3.156773202741143
Negative Regulation Of Amyloid-Beta Formation,,,,,,,,,,7.312039959739221,,,,,,,
Amyloid Fibril Formation,,,,,,,,,,3.557969111436918,4.609184611403913,,4.3538624232666425,,,,
Response To Amyloid-Beta,,,,,,,,6.79905322430843,7.430463620991464,,,,,,,,
Positive Regulation Of Amyloid-Beta Formation,,,,,,,,,3.7585596184612657,,,,,,,,
Negative Regulation Of Amyloid Fibril Formation,,,,,,,,,-4.994120674654971,,,,,,,,
Regulation Of Amyloid Precursor Protein Biosynthetic Process,,,,,,,,,,3.1117424892118724,,,,,,,
Regulation Of Aspartic-Type Endopeptidase Activity Involved In Amyloid Precursor Protein Catabolic Process,,,,,,,,,,,,4.118985656035035,,,,,
Regulation Of Amyloid Fibril Formation,,,,,,,,,,,,,3.5955877910545864,,,,
Cellular Response To Amyloid-Beta,,,,,,,,,,,,,,,,3.2120496736034645,3.158545677764901
Lipid Modification,,,,,-3.056139766987388,,,,,,,,,,,,
Phospholipid Translocation,,,,,,,,,3.3455359786061996,,,,,,,,
Regulation Of Lipid Biosynthetic Process,,,,,,,,,,,3.4707946586710956,,,,,,
Positive Regulation Of Lipid Transport,,,,,,,,,,,,,,,-3.812086940934239,,
Positive Regulation Of Phospholipid Transport,,,,,,,,,,,,,,,-3.2177044653414373,,
Cholesterol Metabolism (Includes Both Bloch And Kandutsch-Russell Pathways),,,,,,,,,,5.469544955417909,,,,,,,
Statin Inhibition Of Cholesterol Production,,,,,,,,,,,,3.0077325005850137,,,,,
Regulation Of Cholesterol Efflux,,,,,,,,,,,3.101890485817634,,,,,,
Positive Regulation Of Neuron Death,,,6.692158660963761,,,,,,,,,,3.186745460155046,,,,
Neuron Migration,-13.815510557964274,5.557232154277046,,,,,,,,,,,,,,3.091424507401484,4.949406637453335
Negative Regulation Of Neuron Projection Development,,3.6431935833582147,,,,,,3.4385975720032342,,,,,7.879653076319181,,,3.5478711802999823,3.4847491472905165
Regulation Of Neuron Apoptotic Process,,6.6919117756172675,,,,,,,,,,,8.65146728138041,,,,
Regulation Of Neuron Projection Development,-3.600159482524419,3.149623822506384,,,,,,,9.006005272548173,,,,,,,3.5859551657500366,4.471832663476963
Positive Regulation Of Neuron Differentiation,,3.0562301930826297,,,,,,,,,,,,,,,
Regulation Of Neuron Death,,,3.2152186276503847,,,,,,,5.049885592540937,,,,,,,
Neuron Development,-3.8773585622099223,,,,,,,,3.873167151606863,,,,,,,,3.581863097795108
Regulation Of Short-Term Neuronal Synaptic Plasticity,,,,-3.5077497704877727,,,,,,,,,,,,,
Phosphodiesterases In Neuronal Function,,,,,-5.015647943226847,-3.329598473795037,,,7.9256563150175845,-4.511246136167277,,,,,,,
Central Nervous System Neuron Development,,,,-6.098126699595721,,,,4.812186795108455,,,,,,,-3.176264439913826,,
Cell Morphogenesis Involved In Neuron Differentiation,,,,,,,,5.3692917449551425,3.502458234291865,,,,,,,,3.5078613199313327
Neuron Projection Morphogenesis,,,,,,,,,5.7062184718906455,,,,,,,3.5957631811443886,
Neuron Projection Development,,,,,,,,,3.91483949899863,,,,,,,3.0225098210420334,3.7515946391292725
Generation Of Neurons,,,,,,,,,4.300026333623583,,,,,,,,
Neuron Differentiation,,,,,,,,,3.958241471185196,,,,,,,,
Central Nervous System Neuron Differentiation,,,,,,,,,5.865325762036299,,,,,,,,
Negative Regulation Of Neuron Death,,,,,,,,,,4.620663448054447,,,,,,,
Neuronal Action Potential,,,,,,,,,3.9388404047088397,,,,,,,,
Regulation Of Neuron Migration,,,,,,,,3.803508818943786,6.416194081389755,,,,,,,,
Regulation Of Neuronal Synaptic Plasticity,,,,,,,,13.815510557964274,,,,,,,,,
Central Nervous System Neuron Axonogenesis,,,,,,,,4.834656855503056,,,,,,,,,
Negative Regulation Of Oxidative Stress-Induced Neuron Death,,,,,,,,,,3.1906711603063638,,,,,,,
Regulation Of Long-Term Neuronal Synaptic Plasticity,,,,,,,,3.944539621485784,,,,,,,,,
Neuron Projection Organization,,,,,,,,3.98898903621606,,,,,,,,,
Neuron Cell-Cell Adhesion,,,,,,,,,8.603261160180216,,,,,,,3.24211624686388,
